37106;6;6;6;15;15
27907;0;0;0;0;0
27945;0;0;1;1;12
28217;0;0;0;0;0
28039;0;0;0;0;0
27906;0;0;0;0;0
28037;3;3;3;3;3
6594;0;0;9;9;9
37120;11;11;14;47;47
28231;0;0;0;0;0
30309;0;0;0;8;18
28076;0;14;40;81;204
6596;0;0;0;0;0
37103;6;15;15;40;40
27937;1;1;1;2;2
37107;18;31;31;70;70
37043;0;0;2;2;2
28230;0;3;3;4;4
28269;0;0;0;10;10
27876;10;10;10;10;10
36450;0;0;0;0;50
36444;0;0;0;0;50
27879;0;0;0;0;0
37111;0;0;0;21;21
37108;0;0;0;0;0
34560;0;10;29;44;70
27941;0;0;0;0;9
27942;0;0;0;14;28
28265;0;0;0;0;0
37104;0;0;0;59;59
29114;0;0;6;6;6
28040;0;0;0;0;26
28058;0;0;0;0;0
27911;0;0;0;0;0
28066;0;0;0;0;0
37117;6;6;6;23;23
37575;7;7;7;7;7
28288;0;0;2;12;27
36442;0;0;0;0;55
28095;0;4;4;4;22
6593;0;0;0;0;3
37535;1;1;1;1;1
37640;0;0;0;0;0
37565;0;0;0;0;0
34539;0;0;0;14;41
28089;0;0;1;37;49
28082;0;13;13;13;13
27883;0;0;0;0;0
28083;0;1;1;1;1
27904;0;0;0;0;0
27892;0;0;0;0;0
30294;0;0;0;0;0
28105;0;0;0;0;0
28059;0;0;0;0;0
28069;0;0;0;0;0
28284;0;0;0;0;0
36835;0;0;2;31;31
28085;2;2;2;2;2
27880;0;0;0;0;0
27946;0;0;4;4;15
28330;0;0;0;20;20
37100;0;0;7;46;46
6560;0;0;0;0;0
27909;4;6;6;6;6
28228;0;0;0;0;0
28033;1;1;1;1;1
36445;0;0;0;0;35
36436;0;14;40;94;94
28090;3;6;6;6;6
27893;0;0;0;0;0
27968;0;0;0;0;0
28448;0;0;15;60;81
36437;0;0;0;0;0
36848;0;14;40;56;56
37644;0;0;0;0;0
36829;0;0;1;1;1
36831;0;0;1;1;1
37523;0;0;0;0;0
34326;0;0;15;45;45
28208;0;0;0;6;6
29115;0;0;0;0;0
19262;0;0;9;37;56
24922;0;18;23;68;176
27878;0;0;0;0;0
28088;0;2;2;2;3
28081;0;0;0;0;10
2572;0;0;3;3;9
37532;0;0;0;0;0
37102;0;0;0;10;10
28099;0;7;7;7;17
28100;0;5;5;35;35
36333;5;8;13;81;122
34538;0;0;0;24;50
27920;0;7;13;54;88
28034;0;0;0;0;0
37105;0;0;0;3;3
28150;0;0;0;0;0
37099;0;0;0;0;0
24914;0;11;18;42;68
26866;9;11;31;67;106
37119;6;24;36;46;46
28227;0;0;0;0;0
33246;0;0;0;0;5
28070;0;0;0;0;0
36335;0;0;0;0;0
24917;11;28;54;143;266
34005;0;0;0;0;9
36334;2;12;15;46;53
30311;5;11;21;22;31
36846;0;0;1;2;2
36847;0;0;1;2;2
38288;0;0;0;0;0
38289;0;0;0;0;0
38292;0;0;0;0;0
38293;0;0;0;0;0
38295;0;0;0;0;0
28289;0;0;0;28;55
37519;0;0;0;0;0
37649;0;0;0;0;0
37647;0;0;0;0;0
28271;0;0;0;0;14
36434;2;8;8;8;8
3313;0;0;0;0;0
28084;0;0;0;0;0
2277;0;0;0;8;9
2276;0;0;0;32;32
28549;23;52;61;61;61
28858;23;47;47;47;47
28594;23;35;54;117;117
2034;0;1;10;10;19
28588;0;0;0;0;0
27908;0;0;0;4;29
36339;0;0;0;0;0
28102;0;0;0;0;0
2607;0;1;1;73;93
36466;2;31;57;101;101
36838;0;14;39;40;40
28060;0;0;0;0;0
34609;0;0;0;0;0
26860;1;4;4;22;44
37583;0;0;0;0;0
26884;0;3;22;95;178
34168;2;14;16;64;87
2841;3;3;3;77;112
12002;3;3;10;99;185
28861;23;52;52;52;52
36346;23;26;45;97;143
34504;5;20;20;20;20
28581;0;11;30;107;107
26994;0;0;0;4;22
28884;0;0;19;89;145
28535;0;0;0;0;0
28584;0;0;0;0;86
34238;0;0;0;0;0
2280;0;0;0;7;21
26993;0;0;0;8;28
28145;0;0;0;0;47
11272;0;0;6;6;6
26992;0;0;0;30;30
22703;0;0;0;7;35
36323;5;10;15;50;50
28211;0;6;14;21;63
6559;0;0;0;0;0
30308;0;0;0;0;0
37533;0;0;0;0;0
37552;0;0;0;0;0
34543;0;0;0;0;0
